,amc_id,fund_house,ter_name,universe_scheme_name,score,approved
549,53,axis,Axis Focused Fund,Axis Focused Fund - Direct Plan - Growth Option,100.0,APPROVE
550,53,axis,Axis Innovation Fund,Axis Innovation Fund - Direct Plan - Growth Option,100.0,APPROVE
551,53,axis,Axis Momentum Fund,Axis Momentum Fund - Direct Plan - Growth Option,100.0,APPROVE
552,53,axis,Axis Large & Mid Cap Fund,Axis Large & Mid Cap Fund - Direct Plan - Growth,100.0,APPROVE
553,53,axis,Axis Large Cap Fund,Axis Large Cap Fund - Direct Plan - Growth,100.0,APPROVE
554,53,axis,Axis Services Opportunities Fund,Axis Services Opportunities Fund - Direct Plan - Growth Option,100.0,APPROVE
555,53,axis,Axis Focused 25 Fund,Axis Focused Fund - Direct Plan - Growth Option,91.89189189189189,APPROVE
556,53,axis,Axis Growth Opportunities Fund,Axis Services Opportunities Fund - Direct Plan - Growth Option,74.19354838709677,REVIEW
557,53,axis,Axis Bluechip Fund,Axis Flexi Cap Fund - Direct Plan - Growth,70.27027027027026,REVIEW
558,54,navi,Navi Flexi Cap Fund,Navi Flexi Cap Fund - Direct Plan - Growth,100.0,APPROVE
559,54,navi,Navi Large Cap Equity Fund,Navi Large Cap Equity Fund-Direct Plan-Growth Option,88.13559322033898,REVIEW
560,54,navi,Navi ELSS Tax Saver Nifty 50 Index Fund,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,78.78787878787878,REVIEW
561,54,navi,Essel Flexi Cap Fund,Navi Flexi Cap Fund - Direct Plan - Growth,71.7948717948718,REVIEW
562,54,navi,Essel Large Cap Equity Fund,Navi Large Cap Equity Fund-Direct Plan-Growth Option,70.0,REVIEW
563,55,motilal oswal,Motilal Oswal Large and Midcap Fund (MOFLM),Motilal Oswal Large and Midcap Fund - Direct Plan Growth,100.0,APPROVE
564,55,motilal oswal,Motilal Oswal Large and Midcap Fund,Motilal Oswal Large and Midcap Fund - Direct Plan Growth,100.0,APPROVE
565,55,motilal oswal,Motilal Oswal ELSS Tax Saver Fund,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,100.0,APPROVE
566,55,motilal oswal,Motilal Oswal Small Cap Fund,Motilal Oswal Small Cap Fund - Direct - Growth,100.0,APPROVE
567,55,motilal oswal,Motilal Oswal Digital India Fund,Motilal Oswal Digital India Fund - Direct Plan - Growth,100.0,APPROVE
568,55,motilal oswal,Motilal Oswal Quant Fund,Motilal Oswal Quant Fund - Direct - Growth,100.0,APPROVE
569,55,motilal oswal,Motilal Oswal Consumption Fund,Motilal Oswal Consumption Fund-Direct-Growth,100.0,APPROVE
570,55,motilal oswal,Motilal Oswal Infrastructure Fund,Motilal Oswal Infrastructure Fund-Direct-Growth,100.0,APPROVE
571,55,motilal oswal,Motilal Oswal Services Fund,Motilal Oswal Services Fund - Direct Plan - Growth,100.0,APPROVE
572,55,motilal oswal,Motilal Oswal Special Opportunities Fund,Motilal Oswal Special Opportunities Fund - Direct - Growth,100.0,APPROVE
573,55,motilal oswal,Motilal Oswal Large Cap Fund,Motilal Oswal Large Cap Direct Plan Growth,90.19607843137256,APPROVE
574,55,motilal oswal,Motilal Oswal Midcap Fund,Motilal Oswal Midcap Fund-Direct Plan-Growth Option,87.71929824561404,REVIEW
575,55,motilal oswal,Motilal Oswal Focused Fund,Motilal Oswal Focused Fund - Direct Plan Growth Option,85.24590163934427,REVIEW
576,55,motilal oswal,Motilal Oswal Focused 25 Fund (MOF25),Motilal Oswal Focused Fund - Direct Plan Growth Option,84.375,REVIEW
577,55,motilal oswal,Motilal Oswal Financial Services Fund,Motilal Oswal Services Fund - Direct Plan - Growth,84.375,REVIEW
578,55,motilal oswal,Motilal Oswal Midcap 30 Fund (MOF30),Motilal Oswal Midcap Fund-Direct Plan-Growth Option,83.33333333333334,REVIEW
579,55,motilal oswal,Motilal Oswal Active Momentum Fund,Motilal Oswal Active Momentum Fund- Direct-Growth,81.92771084337349,REVIEW
580,55,motilal oswal,Motilal Oswal Manufacturing Fund,Motilal Oswal Infrastructure Fund-Direct-Growth,80.0,REVIEW
581,55,motilal oswal,Motilal Oswal Innovation Opportunities Fund,Motilal Oswal Innovation Opportunities Fund - Direct Plan- Growth,79.62962962962963,REVIEW
582,55,motilal oswal,Motilal Oswal Flexi Cap Fund,Motilal Oswal Small Cap Fund - Direct - Growth,78.57142857142857,REVIEW
583,55,motilal oswal,Motilal Oswal Multi Cap Fund,Motilal Oswal Small Cap Fund - Direct - Growth,78.57142857142857,REVIEW
584,55,motilal oswal,Motilal Oswal Business Cycle Fund,Motilal Oswal Business Cycle Fund - Direct Plan- Growth,75.0,REVIEW
585,58,pgim india,PGIM India Large Cap Fund,PGIM India Large Cap Fund - Direct Plan - Growth,100.0,APPROVE
586,58,pgim india,PGIM India ELSS Tax Saver Fund (Earlier known as PGIM India Long Term Equity Fund),PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,100.0,APPROVE
587,58,pgim india,PGIM India Flexi cap fund,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,100.0,APPROVE
