scheme_code,scheme_name,category,scheme_type,fund_house
119333,Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Baroda BNP Paribas Mutual Fund
119337,Baroda Dynamic Bond Fund - Plan B (Direct) - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,Baroda Mutual Fund
119341,Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option,Debt Scheme - Gilt Fund,Open Ended Schemes,Baroda BNP Paribas Mutual Fund
119343,PineBridge Infrastructure & Economic Reform Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
119344,PineBridge World Gold Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
119347,L&T Hybrid Equity Fund - Direct Plan-Growth,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,L&T Mutual Fund
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Bank of India Mutual Fund
119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,Equity Scheme - ELSS,Open Ended Schemes,Bank of India Mutual Fund
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Baroda BNP Paribas Mutual Fund
119360,PineBridge India Liquid Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
119362,BARODA INCOME FUND - Plan B (Direct) - Growth Option,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,Baroda Mutual Fund
119364,BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Bank of India Mutual Fund
119367,Baroda Large cap Fund - Plan B (Direct) - Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,Baroda Mutual Fund
119369,BANK OF INDIA Liquid Fund- Direct Plan- Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,Bank of India Mutual Fund
119376,PineBridge India Total Return Bond Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
119379,BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Growth,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Bank of India Mutual Fund
119382,BANK OF INDIA Short Term Income Fund-Direct Plan- Growth,Debt Scheme - Short Duration Fund,Open Ended Schemes,Bank of India Mutual Fund
119385,PineBridge India Short Term Fund- Direct Plan- Growth Option,Income,Open Ended Schemes,PineBridge Mutual Fund
119389,BARODA CONSERVATIVE HYBRID FUND - Plan B (Direct) - Growth Option,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,Baroda Mutual Fund
119392,Baroda Mid-cap Fund- Plan B (Direct) - Growth Option,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Baroda Mutual Fund
119393,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,Bank of India Mutual Fund
119397,L&T Large and Midcap Fund-Direct Plan-Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,L&T Mutual Fund
119400,Baroda BNP Paribas Short Duration Fund - Direct Plan - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,Baroda BNP Paribas Mutual Fund
119402,PineBridge Quarterly Interval Fund Series I- Direct Plan- Growth Option,Income,Close Ended Schemes,PineBridge Mutual Fund
119404,L&T India Value Fund-Direct Plan-Growth,Equity Scheme - Value Fund,Open Ended Schemes,L&T Mutual Fund
119405,PineBridge Quarterly Interval Fund Series II- Direct Plan- Growth Option,Income,Close Ended Schemes,PineBridge Mutual Fund
119407,L&T Indo Asia Fund-Direct Plan-Growth Option,Income,Open Ended Schemes,L&T Mutual Fund
119410,Baroda Treasury Advantage Fund - Plan B (Direct) - Growth Option,Debt Scheme - Low Duration Fund,Open Ended Schemes,Baroda Mutual Fund
119413,L&T Infrastructure Fund -Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,L&T Mutual Fund
119415,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,Debt Scheme - Liquid Fund,Open Ended Schemes,Baroda BNP Paribas Mutual Fund
119417,L&T  Tax Advantage Fund-Direct Plan-Growth,Equity Scheme - ELSS,Open Ended Schemes,L&T Mutual Fund
119420,L&T Global Real Assets Fund-Direct Plan-Growth Option,Income,Open Ended Schemes,L&T Mutual Fund
119424,Tata Money Market Fund- Direct Plan- Growth Option,Debt Scheme - Money Market Fund,Open Ended Schemes,Tata Mutual Fund
119425,L&T Gilt Fund - Direct Plan - Growth,Debt Scheme - Gilt Fund,Open Ended Schemes,L&T Mutual Fund
119428,L&T Flexi Bond Fund - Direct Plan- Growth,Debt Scheme - Dynamic Bond,Open Ended Schemes,L&T Mutual Fund
119431,L&T Money Market Fund -Direct Plan- Growth,Debt Scheme - Money Market Fund,Open Ended Schemes,L&T Mutual Fund
119434,Principal Retail Equity Savings Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,PRINCIPAL Mutual Fund
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119438,Principal Dividend Yield Fund - Direct Plan - Growth Option,Equity Scheme - Dividend Yield Fund,Open Ended Schemes,Principal Mutual Fund
119441,Principal Emerging Bluechip Fund - Direct Plan - Growth Option,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Principal Mutual Fund
119444,Tata Liquidity Management Fund- Direct Plan-Growth,Income,Open Ended Schemes,Tata Mutual Fund
119448,Principal Low Duration Fund - Direct Plan - Growth Option,Debt Scheme - Low Duration Fund,Open Ended Schemes,Principal Mutual Fund
119450,Principal Credit Risk Fund - Direct Plan - Growth Option,Debt Scheme - Credit Risk Fund,Open Ended Schemes,Principal Mutual Fund
119451,Principal Multi Cap Growth Fund - Direct Plan -Half Yearly Income Distribution CUM Capital Withdrawal Option,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Principal Mutual Fund
119452,Principal Multi Cap Growth Fund-Direct Plan - Growth Option,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Principal Mutual Fund
119453,Principal Government Securities Fund-Direct Plan - Growth Option,Income,Open Ended Schemes,PRINCIPAL Mutual Fund
119457,Principal Global Opportunities Fund-Direct Plan - Growth Option,Other Scheme - FoF Overseas,Open Ended Schemes,Principal Mutual Fund
119461,Principal Dynamic Bond Fund - Direct Plan - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,Principal Mutual Fund
119462,Principal Short Term Debt Fund- Direct Plan - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,Principal Mutual Fund
119464,Principal Focused Multicap Fund- Direct Plan - Growth Option,Equity Scheme - Focused Fund,Open Ended Schemes,Principal Mutual Fund
119468,Principal Cash Management Fund - Direct Plan - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Principal Mutual Fund
119472,Principal Equity Savings Fund - Direct Plan - Growth Option,Hybrid Scheme - Equity Savings,Open Ended Schemes,Principal Mutual Fund
119474,Principal Ultra Short Term Fund- Direct Plan -Growth Option,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Principal Mutual Fund
119479,Principal Corporate Bond Fund  - Direct Plan -Growth Option,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Principal Mutual Fund
119480,Principal Bank CD Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,PRINCIPAL Mutual Fund
119482,Principal Balanced Advantage Fund - Direct Plan - Growth Option,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,Principal Mutual Fund
119484,Principal Hybrid Equity Fund- Direct Plan - Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,Principal Mutual Fund
119488,Principal Nifty 100 Equal Weight Fund - Direct Plan - Growth Option,Other Scheme - Index Funds,Open Ended Schemes,Principal Mutual Fund
119490,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119493,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119495,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119498,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,Debt Scheme - Short Duration Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119501,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,Debt Scheme - Dynamic Bond,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119507,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Equity Scheme - Dividend Yield Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119509,Birla Sun Life Floating Rate - Long Term - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119511,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan,Debt Scheme - Money Market Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119517,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119518,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan,Formerly Known as IIFL Mutual Fund,360 ONE Mutual Fund,Aditya Birla Sun Life Mutual Fund
119520,Aditya Birla Sun Life Long Term Advantage - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119523,Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan,Debt Scheme - Low Duration Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119526,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,Equity Scheme - Large Cap Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119529,Aditya Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119535,Aditya Birla Sun Life Interval Income Fund - Quarterly Series I - Growth - Direct Plan,Income,Close Ended Schemes,Aditya Birla Sun Life Mutual Fund
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119539,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan,Debt Scheme - Medium Duration Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119542,Sundaram Equity Hybrid Fund Direct Plan - Growth,Hybrid Scheme - Balanced Hybrid Fund,Open Ended Schemes,Sundaram Mutual Fund
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Equity Scheme - ELSS,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119546,Aditya Birla Sun Life Special Situations Fund - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119549,Sundaram Value Fund Direct Plan - Growth,Equity Scheme - Value Fund,Open Ended Schemes,Sundaram Mutual Fund
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119555,Sundaram Select Thematic Funds Capex Opportunities -Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Equity Scheme - Small Cap Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119559,Sundaram Select Thematic Funds Energy Opportunities -Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,Equity Scheme - Focused Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119566,Sundaram Large and Midcap Fund Direct Plan - Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Sundaram Mutual Fund
119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Debt Scheme - Liquid Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119572,Sundaram Multi Asset Fund Direct Growth,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Sundaram Mutual Fund
119576,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan,Formerly Known as IIFL Mutual Fund,360 ONE Mutual Fund,Aditya Birla Sun Life Mutual Fund
119578,Sundaram Select Focus Direct Plan - Growth,Equity Scheme - Focused Fund,Open Ended Schemes,Sundaram Mutual Fund
119580,Birla Sun Life Commodities Equities Fund Global Multi Commodity Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119581,Sundaram Mid Cap Fund Direct Plan - Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Sundaram Mutual Fund
119584,Birla Sun Life Commodities Equities Fund Global Precious Metals Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119586,Sundaram Select Thematic Funds PSU Opportunities -Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119589,Sundaram Small Cap Fund Direct Plan - Growth,Equity Scheme - Small Cap Fund,Open Ended Schemes,Sundaram Mutual Fund
119591,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119592,Sundaram Growth Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119595,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Direct Plan - Growth),Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Sundaram Mutual Fund
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Sundaram Mutual Fund
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,Equity Scheme - Large Cap Fund,Open Ended Schemes,SBI Mutual Fund
119599,Sundaram Entertainment Opportunities Fund -Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119602,Sundaram Global Brand Theme-Equity Active FOF - Direct Growth,Other Scheme - FoF Overseas,Open Ended Schemes,Sundaram Mutual Fund
119603,Sundaram Gilt Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Debt Scheme - Gilt Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119609,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,SBI Mutual Fund
119612,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119614,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119618,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan,Income,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119621,Sundaram Corporate Bond Fund Direct Plan - Growth,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Sundaram Mutual Fund
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Sundaram Mutual Fund
119632,Sundaram Short Term Credit Risk Fund - Direct Plan - Growth Option,Debt Scheme - Credit Risk Fund,Open Ended Schemes,Sundaram Mutual Fund
119635,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Direct Plan - Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,Sundaram Mutual Fund
119644,Sundaram Regular Savings Fund - Direct Plan - Growth Option,54EB Growth,103182;-;-;Aditya Birla Sun Life Income Fund-Plan G,Sundaram Mutual Fund
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,Other Scheme - Index Funds,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119654,Sundaram Monthly Income Plan - Moderate Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,Sundaram Mutual Fund
119657,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119659,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,Equity Scheme - Value Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119661,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,Equity Scheme - ELSS,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
119664,Sundaram Short Term Debt Fund Direct Plan - Growth,Debt Scheme - Short Duration Fund,Open Ended Schemes,Sundaram Mutual Fund
119671,SBI Dynamic Bond Fund - DIRECT PLAN - Growth,Debt Scheme - Dynamic Bond,Open Ended Schemes,SBI Mutual Fund
119675,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth,Debt Scheme - Medium Duration Fund,Open Ended Schemes,Sundaram Mutual Fund
119680,Sundaram Low Duration Fund Direct Plan - Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,Sundaram Mutual Fund
119685,SBI Edge Fund - DIRECT PLAN - GROWTH,Income,Open Ended Schemes,SBI Mutual Fund
119686,Sundaram Money Fund Direct Plan - Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,Sundaram Mutual Fund
119693,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan D - Direct Plan - Growth,Income,Close Ended Schemes,Sundaram Mutual Fund
119697,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan A - Direct Plan - Growth,Income,Open Ended Schemes,Sundaram Mutual Fund
119698,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan B - Direct Plan - Growth,Income,Open Ended Schemes,Sundaram Mutual Fund
119700,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119701,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan C - Direct Plan - Growth,Income,Close Ended Schemes,Sundaram Mutual Fund
119704,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan E - Direct Plan - Growth,Income,Close Ended Schemes,Sundaram Mutual Fund
119705,SBI COMMA Fund - DIRECT PLAN - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119707,SBI GILT FUND - DIRECT PLAN - GROWTH,Debt Scheme - Gilt Fund,Open Ended Schemes,SBI Mutual Fund
119709,SBI ESG Exclusionary Strategy Fund - Direct Plan -Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119711,SBI MNC FUND - DIRECT PLAN -GROWTH,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119714,SBI Medium to Long Duration Fund-DIRECT PLAN -Growth,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,SBI Mutual Fund
119716,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,Equity Scheme - Mid Cap Fund,Open Ended Schemes,SBI Mutual Fund
119718,SBI Flexicap Fund - DIRECT PLAN - Growth Option,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,SBI Mutual Fund
119719,SBI Children's Fund - Savings Plan - DIRECT PLAN - GROWTH,Solution Oriented Scheme - Children’s Fund,Open Ended Schemes,SBI Mutual Fund
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,SBI Mutual Fund
119723,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,Equity Scheme - ELSS,Open Ended Schemes,SBI Mutual Fund
119727,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,Equity Scheme - Focused Fund,Open Ended Schemes,SBI Mutual Fund
119732,SBI PSU Fund - DIRECT PLAN - GROWTH,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119735,Kotak Bond Fund - Growth - Direct,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119739,Kotak Bond Short Term Plan-(Growth) - Direct,Debt Scheme - Short Duration Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119741,Kotak Credit Risk Fund - Growth - Direct,Debt Scheme - Credit Risk Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119746,Kotak Money Market Fund - (Growth) - Direct,Debt Scheme - Money Market Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119750,Kotak Savings Fund-Growth - Direct,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119755,Kotak Dynamic Bond Fund - Growth - Direct,Debt Scheme - Dynamic Bond,Open Ended Schemes,Kotak Mahindra Mutual Fund
119757,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct,Debt Scheme - Gilt Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119759,Kotak Gilt-Investment Regular-Growth - Direct,Debt Scheme - Gilt Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119762,Kotak Gilt-Savings-Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
119766,Kotak Liquid Fund - Direct Plan - Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119769,Kotak Contra Fund - Direct Plan - Growth,Equity Scheme - Contra Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119771,Kotak Arbitrage Fund - Direct Plan - Growth,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119773,Kotak ELSS Tax Saver Fund-Growth - Direct,Equity Scheme - ELSS,Open Ended Schemes,Kotak Mahindra Mutual Fund
119775,Kotak Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,Other Scheme - FoF Domestic,Open Ended Schemes,Kotak Mahindra Mutual Fund
119779,Kotak Global Emerging Market overseas Equity Omni FOF - Growth - Direct,Other Scheme - FoF Overseas,Open Ended Schemes,Kotak Mahindra Mutual Fund
119781,Kotak Gold Fund Growth - Direct,Other Scheme - FoF Domestic,Open Ended Schemes,Kotak Mahindra Mutual Fund
119783,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,SBI Mutual Fund
119786,L&T Credit Risk Fund- Direct Plan - Growth,Debt Scheme - Credit Risk Fund,Open Ended Schemes,L&T Mutual Fund
119788,SBI GOLD FUND- DIRECT PLAN - GROWTH,Other Scheme - FoF Domestic,Open Ended Schemes,SBI Mutual Fund
119790,L&T Liquid Fund - Direct Plan -Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,L&T Mutual Fund
119795,L&T Banking and PSU Debt Fund - Direct Plan - Growth,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,L&T Mutual Fund
119798,SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH,Debt Scheme - Credit Risk Fund,Open Ended Schemes,SBI Mutual Fund
119800,SBI Liquid Fund - DIRECT PLAN -Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,SBI Mutual Fund
119802,L&T Equity Savings Fund - Direct Plan-Growth,Hybrid Scheme - Equity Savings,Open Ended Schemes,L&T Mutual Fund
119807,L&T Mid Cap Fund-Direct Plan-Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,L&T Mutual Fund
119809,L&T Low Duration Fund-Direct Plan-Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,L&T Mutual Fund
119812,SBI LOW DURATION FUND - DIRECT PLAN - GROWTH,Debt Scheme - Low Duration Fund,Open Ended Schemes,SBI Mutual Fund
119816,SBI SHORT TERM DEBT FUND - DIRECT PLAN -GROWTH,Debt Scheme - Short Duration Fund,Open Ended Schemes,SBI Mutual Fund
119821,SBI  SAVINGS FUND - DIRECT PLAN - GROWTH,Debt Scheme - Money Market Fund,Open Ended Schemes,SBI Mutual Fund
119824,SBI MEDIUM DURATION FUND - DIRECT PLAN - GROWTH,Debt Scheme - Medium Duration Fund,Open Ended Schemes,SBI Mutual Fund
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,Other Scheme - Index Funds,Open Ended Schemes,SBI Mutual Fund
119828,SBI ULTRA SHORT DURATION FUND - DIRECT PLAN - GROWTH,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,SBI Mutual Fund
119833,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,Debt Scheme - Overnight Fund,Open Ended Schemes,SBI Mutual Fund
119835,SBI CONTRA FUND - DIRECT PLAN - GROWTH,Equity Scheme - Contra Fund,Open Ended Schemes,SBI Mutual Fund
119839,SBI Conservative Hybrid Fund - Direct Plan - Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,SBI Mutual Fund
119843,SBI MULTI ASSET ALLOCATION FUND - DIRECT PLAN - GROWTH,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,SBI Mutual Fund
119844,L&T Triple Ace Bond Fund - Direct Plan -Growth,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,L&T Mutual Fund
119849,L&T Ultra Short Term Fund-Direct Plan - Growth,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,L&T Mutual Fund
119852,L&T Conservative Hybrid Fund -Direct Plan- Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,L&T Mutual Fund
119856,L&T Short Term Bond Fund -Direct Plan- Growth,Debt Scheme - Short Duration Fund,Open Ended Schemes,L&T Mutual Fund
119859,MOSt 10 Year Gilt Fund - Direct Plan - Growth,Gilt,Open Ended Schemes,Motilal Oswal Mutual Fund
119861,Tata Liquid Fund- Direct Plan-Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Tata Mutual Fund
119863,Tata Treasury Advantage Fund - Direct Plan - Growth Option,Debt Scheme - Low Duration Fund,Open Ended Schemes,Tata Mutual Fund
119867,JPMorgan India Equity Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
