scheme_code,scheme_name,category,scheme_type,fund_house
118804,Nippon India Annual Interval Fund - Series I - Direct Plan Growth Plan - Growth,Income,Interval Fund Schemes,Nippon India Mutual Fund
118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Nippon India Mutual Fund
118814,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Nippon India Mutual Fund
118820,Indiabulls Gilt Fund - Indirect Plan - Growth Option,Debt Scheme - Gilt Fund,Open Ended Schemes,Indiabulls Mutual Fund
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,Mirae Asset Mutual Fund
118828,Mirae Asset Global Commodity Stocks - Direct Plan - Growth,Income,Open Ended Schemes,Mirae Asset Mutual Fund
118831,Mirae Asset China Advantage Fund - Direct Plan - Growth,Income,Open Ended Schemes,Mirae Asset Mutual Fund
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Mirae Asset Mutual Fund
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Mirae Asset Mutual Fund
118840,Mirae Asset Low Duration Fund - Direct Plan - Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,Mirae Asset Mutual Fund
118847,Mirae Asset Short Term Bond Fund - Direct Plan - Growth,Income,Open Ended Schemes,Mirae Asset Mutual Fund
118857,Mirae Asset Liquid Fund - Direct Plan - Growth,Income,Open Ended Schemes,Mirae Asset Mutual Fund
118859,Mirae Asset Liquid Fund - Direct Plan - Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,Mirae Asset Mutual Fund
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,Equity Scheme - ELSS,Open Ended Schemes,Taurus Mutual Fund
118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Taurus Mutual Fund
118870,Taurus Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,Taurus Mutual Fund
118872,Taurus Mid Cap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Taurus Mutual Fund
118874,Taurus Dynamic Income Fund-Direct Plan-Growth Option,Income,Open Ended Schemes,Taurus Mutual Fund
118876,Taurus Ethical Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Taurus Mutual Fund
118879,Taurus Infrastructure Fund - Direct Plan - Growth ,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Taurus Mutual Fund
118881,Taurus Nifty 50 Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,Open Ended Schemes,Taurus Mutual Fund
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Taurus Mutual Fund
118885,Taurus MIP Advantage-Direct Plan-Growth Option,Income,Open Ended Schemes,Taurus Mutual Fund
118887,Taurus Gilt Fund-Direct Plan-Growth Option,Income,Open Ended Schemes,Taurus Mutual Fund
118889,Taurus Short Term Income Fund-Direct Plan-Growth Option,Income,Open Ended Schemes,Taurus Mutual Fund
118893,Taurus Liquid Fund-Direct Plan-SI Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Taurus Mutual Fund
118894,Taurus Ultra Short Term Bond Fund-Direct Plan-SI Growth Option,Income,Open Ended Schemes,Taurus Mutual Fund
118919,JPMorgan India Fixed Maturity Plan - Series 12 - Direct Plan - Growth Option,Income,Close Ended Schemes,JPMorgan Mutual Fund
118924,DSP Bond Fund - Direct Plan - Growth,Debt Scheme - Medium Duration Fund,Open Ended Schemes,DSP Mutual Fund
118927,HDFC Focused Large-Cap Fund -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,Equity Scheme - ELSS,Open Ended Schemes,HDFC Mutual Fund
118931,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,HDFC Mutual Fund
118933,HDFC Balanced Fund -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
118935,HDFC Value Fund - Growth Option - Direct Plan,Equity Scheme - Value Fund,Open Ended Schemes,HDFC Mutual Fund
118936,DWS Alpha Equity Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118939,DWS Investment Opportunity Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118942,HDFC Low Duration  Fund - Direct Plan - Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,HDFC Mutual Fund
118946,DWS Tax Saving Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118950,HDFC Focused Fund - Growth Option - Direct Plan,Equity Scheme - Focused Fund,Open Ended Schemes,HDFC Mutual Fund
118951,DWS Top Euroland Offshore Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,HDFC Mutual Fund
118958,DWS Global Agribusiness Offshore Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118961,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option,Debt Scheme - Floater Fund,Open Ended Schemes,HDFC Mutual Fund
118965,DWS Equity Income Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,HDFC Mutual Fund
118972,DWS Income Advantage Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118975,DWS Premier Bond Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,HDFC Mutual Fund
118982,DWS Short Maturity Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,HDFC Mutual Fund
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,Equity Scheme - Mid Cap Fund,Open Ended Schemes,HDFC Mutual Fund
118991,HDFC Prudence Fund -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
118994,DSP Regular Savings Fund - Direct Plan - Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,DSP Mutual Fund
118996,HDFC Quarterly Interval Fund - Plan A-Direct Plan - Retail Growth Option,Income,Close Ended Schemes,HDFC Mutual Fund
119000,DWS Insta Cash Plus Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119004,HDFC Quarterly Interval Fund - Plan B-Direct Plan - Retail Growth Option,Income,Close Ended Schemes,HDFC Mutual Fund
119007,HDFC Quarterly Interval Fund - Plan C-Direct Plan - Retail Growth Option,Income,Close Ended Schemes,HDFC Mutual Fund
119009,DWS Treasury Fund - Cash Plan - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119016,HDFC Short Term  Debt Fund - Growth Option - Direct Plan,Debt Scheme - Short Duration Fund,Open Ended Schemes,HDFC Mutual Fund
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,Equity Scheme - Large Cap Fund,Open Ended Schemes,HDFC Mutual Fund
119019,DSP Aggressive Hybrid Fund - Direct Plan - Growth,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,DSP Mutual Fund
119022,DWS Treasury Fund - Investment - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,DSP Mutual Fund
119033,DWS Low Duration Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119038,DWS Ultra Short Term Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119049,DWS Cash Opportunities Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119053,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,Tata Mutual Fund
119054,DWS Gilt Fund - Direct Plan - Growth,Income,Open Ended Schemes,Deutsche Mutual Fund
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,Equity Scheme - ELSS,Open Ended Schemes,HDFC Mutual Fund
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,HDFC Mutual Fund
119069,HDFC Income Fund - Growth Option - Direct Plan,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,HDFC Mutual Fund
119071,DSP Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,DSP Mutual Fund
119075,HDFC Dynamic Debt Fund - Growth Option - Direct Plan,Debt Scheme - Dynamic Bond,Open Ended Schemes,HDFC Mutual Fund
119076,DSP Flexi Cap Fund - Direct Plan - Growth,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,DSP Mutual Fund
119079,HDFC Regular Savings Fund -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
119081,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,Debt Scheme - Medium Duration Fund,Open Ended Schemes,HDFC Mutual Fund
119082,DSP Credit Risk Fund - Direct Plan - Growth,Debt Scheme - Credit Risk Fund,Open Ended Schemes,DSP Mutual Fund
119091,HDFC Liquid Fund - Growth Option - Direct Plan,Debt Scheme - Liquid Fund,Open Ended Schemes,HDFC Mutual Fund
119092,HDFC Money Market Fund - Growth Option - Direct Plan,Debt Scheme - Money Market Fund,Open Ended Schemes,HDFC Mutual Fund
119096,DSP Focused Fund - Direct Plan - Growth,Equity Scheme - Focused Fund,Open Ended Schemes,DSP Mutual Fund
119097,Tata Dynamic Bond Fund- Direct Plan-Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,Tata Mutual Fund
119099,DSP Gilt Fund - Direct Plan - Growth,Debt Scheme - Gilt Fund,Open Ended Schemes,DSP Mutual Fund
119104,Tata Corporate Bond Fund- Direct Plan-Growth,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Tata Mutual Fund
119106,DSP Savings Fund - Direct Plan - Growth,Debt Scheme - Money Market Fund,Open Ended Schemes,DSP Mutual Fund
119110,HDFC Overnight Fund - Growth Option - Direct Plan,Debt Scheme - Overnight Fund,Open Ended Schemes,HDFC Mutual Fund
119112,HDFC Floating Rate Income Fund Long -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
119114,HDFC Gilt Fund Short Term Plan -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
119116,HDFC Gilt Fund - Growth Option - Direct Plan,Debt Scheme - Gilt Fund,Open Ended Schemes,HDFC Mutual Fund
